strain	subject acc.ver	subject title	species	genotype	E	P	H	F	date	year	location	GeoNames.country_code	GeoNames.admin1_code	GeoNames.admin2_code	GeoNames.admin3_code	GeoNames.admin4_code	GeoNames.geonameid	GeoNames.name	GeoNames.latitude	GeoNames.longitude	GeoNames.feature_code	GeoNames.modification_date
AB605241.1	AB605241.1	Human adenovirus D DNA, complete genome, isolate: 880249C/Hiroshima/1988	D	85	85	20	22	19	1988-01-01	1988	JP.11	JP	11	?	?	?	1862413	Hiroshima-ken	34.60673	132.78543	ADM1	2019-08-02
AB605242.1	AB605242.1	Human adenovirus D DNA, complete genome, isolate: 890357C/Hiroshima/1989	D	85	85	20	22	8	1989-01-01	1989	JP.11	JP	11	?	?	?	1862413	Hiroshima-ken	34.60673	132.78543	ADM1	2019-08-02
AB605243.1	AB605243.1	Human adenovirus 53 DNA, complete genome, isolate: 960528C/Hiroshima/1996	D	85	85	37	22	8	1996-01-01	1996	JP.11	JP	11	?	?	?	1862413	Hiroshima-ken	34.60673	132.78543	ADM1	2019-08-02
AB605244.1	AB605244.1	Human adenovirus 53 DNA, complete genome, isolate: C075/Matsuyama/2003	D	85	85	37	22	8	2003-01-01	2003	JP.05.1857456	JP	05	1857456	?	?	1857456	Matsuyama-shi	33.83568	132.76224	ADM2	2017-07-22
AB605245.1	AB605245.1	Human adenovirus 53 DNA, complete genome, isolate: FS161/Fukui/2004	D	85	85	37	22	8	2004-01-01	2004	JP.06	JP	06	?	?	?	1863983	Fukui	35.85	136.21667	ADM1	2019-03-08
AB605246.1	AB605246.1	Human adenovirus 53 DNA, complete genome, isolate: FS165/Fukui/2004	D	85	85	37	22	8	2004-01-01	2004	JP.06	JP	06	?	?	?	1863983	Fukui	35.85	136.21667	ADM1	2019-03-08
AB679747.1	AB679747.1	Human adenovirus D8 DNA, complete genome, isolate: HAdVD_8_Sapporo1991	D	8	8	8	8	8	1991-01-01	1991	JP.12.2128291	JP	12	2128291	?	?	2128291	Sapporo-shi	43.06667	141.35	ADM2	2017-07-22
AB679748.1	AB679748.1	Human adenovirus D8 DNA, complete genome, isolate: HAdVD_8_Sapporo2001	D	8	8	8	8	8	2001-01-01	2001	JP.12.2128291	JP	12	2128291	?	?	2128291	Sapporo-shi	43.06667	141.35	ADM2	2017-07-22
AB679749.1	AB679749.1	Human adenovirus 54 DNA, complete genome, isolate: HAdVD_54_Sapporo2005	D	54	54	54	54	8	2005-01-01	2005	JP.12.2128291	JP	12	2128291	?	?	2128291	Sapporo-shi	43.06667	141.35	ADM2	2017-07-22
AB679750.1	AB679750.1	Human adenovirus 54 DNA, complete genome, isolate: HAdVD_54_Sapporo2009	D	54	54	54	54	8	2009-01-01	2009	JP.12.2128291	JP	12	2128291	?	?	2128291	Sapporo-shi	43.06667	141.35	ADM2	2017-07-22
AB679751.1	AB679751.1	Human adenovirus D37 DNA, complete genome, isolate: HAdVD_37_Sapporo1999	D	37	82	37	37	37	1999-01-01	1999	JP.12.2128291	JP	12	2128291	?	?	2128291	Sapporo-shi	43.06667	141.35	ADM2	2017-07-22
AB679752.1	AB679752.1	Human adenovirus 19a DNA, complete genome, isolate: HAdVD_19a_Sapporo1992	D	64	64	22	19	19	1992-01-01	1992	JP.12.2128291	JP	12	2128291	?	?	2128291	Sapporo-shi	43.06667	141.35	ADM2	2017-07-22
AB679753.1	AB679753.1	Human adenovirus 19a DNA, complete genome, isolate: HAdVD_19a_Sapporo1999	D	19	64	19	19	19	1999-01-01	1999	JP.12.2128291	JP	12	2128291	?	?	2128291	Sapporo-shi	43.06667	141.35	ADM2	2017-07-22
AB695621.1	AB695621.1	Human adenovirus 10 DNA, complete genome, isolate: HAdV-10_NIID-1	D	10	10	10	10	10	?	?	?	?	?	?	?	?	?	?	?	?	?	?
AB695622.1	AB695622.1	Human adenovirus D10 DNA, complete genome, isolate: HAdV-10_NIID-2	D	10	10	10	10	10	?	?	?	?	?	?	?	?	?	?	?	?	?	?
AB701748.1	AB701748.1	Human adenovirus D8 DNA, complete genome, strain: Singapore	D	8	8	8	8	8	2011-01-01	2011	SG.00	SG	00	?	?	?	1880251	Republic of Singapore	1.36667	103.8	PCLI	2020-03-29
AB724351.1	AB724351.1	Human adenovirus 10 DNA, complete genome, strain: J.J.; ATCC VR-1504	D	10	10	10	10	10	?	?	?	?	?	?	?	?	?	?	?	?	?	?
AB728839.1	AB728839.1	Human adenovirus 41 DNA, complete genome, strain: SaP3-3F	F	41	41	41	41	41	?	?	?	?	?	?	?	?	?	?	?	?	?	?
AB746853.1	AB746853.1	Human adenovirus 8 DNA, complete genome, strain: Trim variant	D	8	8	8	8	8	?	?	?	?	?	?	?	?	?	?	?	?	?	?
AB746854.1	AB746854.1	Human adenovirus 10 DNA, complete genome, strain: contaminant in the ATCC HAdV-8 stock	D	10	10	10	10	10	?	?	?	?	?	?	?	?	?	?	?	?	?	?
AB765926.1	AB765926.1	Human adenovirus 81 DNA, complete genome, strain: Chiba_E086/2012	D	81	81	65	48	60	2012-01-01	2012	JP.04	JP	04	?	?	?	2113014	Chiba-ken	35.60506	140.12333	ADM1	2019-08-02
AB897885.1	AB897885.1	Human adenovirus D8 DNA, complete genome, strain: S9	D	8	8	8	8	8	2011-01-01	2011	SA.00	SA	00	?	?	?	102358	Kingdom of Saudi Arabia	25	45	PCLI	2020-03-29
AF108105.1	AF108105.1	Human adenovirus type 17 complete genome	D	17	17	17	17	17	?	?	?	?	?	?	?	?	?	?	?	?	?	?
AF532578.1	AF532578.1	Human adenovirus type 11 strain Slobitski, complete genome	B	11	11	11	11	11	?	?	?	?	?	?	?	?	?	?	?	?	?	?
AF534906.1	AF534906.1	Human adenovirus type 1 subgroup C, complete genome	C	1	1	1	1	1	?	?	?	?	?	?	?	?	?	?	?	?	?	?
AJ854486.1	AJ854486.1	Human adenovirus type 9 complete genome	D	9	9	9	9	9	?	?	?	?	?	?	?	?	?	?	?	?	?	?
AM749299.1	AM749299.1	Human adenovirus type 31 complete genome, serotype 31	A	31	31	31	31	31	?	?	?	?	?	?	?	?	?	?	?	?	?	?
AP012285.1	AP012285.1	Human adenovirus 65 DNA, complete genome, strain: BGD/2004/B172/[P58/H10/F9]	D	65	65	58	10	9	2004-01-01	2004	BG.00	BG	00	?	?	?	732800	Republic of Bulgaria	42.66667	25.25	PCLI	2019-06-04
AP012302.1	AP012302.1	Human adenovirus 67 DNA, complete genome, strain: BGD/2005/B109/[P67/H9/F67]	D	67	67	67	9	67	2005-01-01	2005	BG.00	BG	00	?	?	?	732800	Republic of Bulgaria	42.66667	25.25	PCLI	2019-06-04
AP014852.1	AP014852.1	Human adenovirus 4p NHRC_90255 DNA, complete genome	E	4	4	4	4	4	2000-01-01	2000	US.00	US	00	?	?	?	6252001	United States	39.76	-98.5	PCLI	2020-03-29
AP014853.1	AP014853.1	Human adenovirus 4p NHRC_90870 DNA, complete genome	E	4	4	4	4	4	2004-01-01	2004	US.00	US	00	?	?	?	6252001	United States	39.76	-98.5	PCLI	2020-03-29
AY128640.2	AY128640.2	Human adenovirus type 35 strain Holden, complete genome	B	35	35	35	35	35	?	?	?	?	?	?	?	?	?	?	?	?	?	?
AY163756.1	AY163756.1	Human adenovirus type 11 strain Ad11p Slobitski, complete genome	B	11	11	11	11	11	?	?	?	?	?	?	?	?	?	?	?	?	?	?
AY271307.1	AY271307.1	Human adenovirus type 35 strain 35p, complete genome	B	35	35	35	35	34	?	?	?	?	?	?	?	?	?	?	?	?	?	?
AY339865.1	AY339865.1	Human adenovirus C serotype 5, complete genome	C	5	5	5	5	5	?	?	?	?	?	?	?	?	?	?	?	?	?	?
AY458656.2	AY458656.2	Human adenovirus 4 strain CL68578, complete genome	E	4	4	4	4	4	1965-04-15	1965	US.00	US	00	?	?	?	6252001	United States	39.76	-98.5	PCLI	2020-03-29
AY487947.1	AY487947.1	Human adenovirus E, complete genome	E	4	4	4	4	4	1963-01-01	1963	?	?	?	?	?	?	?	?	?	?	?	?
AY495969.1	AY495969.1	Human adenovirus type 7 vaccine strain, complete genome	B	7	7	7	7	7	?	?	CN.00	CN	00	?	?	?	1814991	People’s Republic of China	35	105	PCLI	2020-07-28
AY594253.1	AY594253.1	Human adenovirus type 4 strain RI-67, complete genome	E	4	4	4	4	4	1953-01-01	1953	?	?	?	?	?	?	?	?	?	?	?	?
AY594254.1	AY594254.1	Human adenovirus type 4 vaccine strain, complete genome	E	4	4	4	4	4	?	?	?	?	?	?	?	?	?	?	?	?	?	?
AY594255.1	AY594255.1	Human adenovirus type 7 strain Gomen, complete genome	B	3	21	66	7	7	?	?	?	?	?	?	?	?	?	?	?	?	?	?
AY594256.1	AY594256.1	Human adenovirus type 7 vaccine strain, complete genome	B	66	7	7	7	7	?	?	?	?	?	?	?	?	?	?	?	?	?	?
AY598970.1	AY598970.1	Human adenovirus B strain 11p, complete genome	B	11	11	11	11	11	?	?	?	?	?	?	?	?	?	?	?	?	?	?
AY599836.1	AY599836.1	Human adenovirus type 3 strain NHRC 1276, complete genome	B	3	3	66	3	3	1997-11-07	1997	US.IL.097	US	IL	097	?	?	4898998	Lake County	42.34941	-87.86179	ADM2	2018-04-25
AY601633.1	AY601633.1	Human adenovirus type 21 strain AV-1645, complete genome	B	21	21	21	21	21	?	?	?	?	?	?	?	?	?	?	?	?	?	?
AY601634.1	AY601634.1	Human adenovirus type 7 strain NHRC 1315, complete genome	B	66	7	66	7	7	1997-11-19	1997	US.IL.097	US	IL	097	?	?	4898998	Lake County	42.34941	-87.86179	ADM2	2018-04-25
AY601635.1	AY601635.1	Human adenovirus type 5 strain NHRC Ad5FS 7151, complete genome	C	5	5	5	5	5	?	?	?	?	?	?	?	?	?	?	?	?	?	?
AY601636.1	AY601636.1	Human adenovirus type 16 strain ch. 79, complete genome	B	16	16	16	16	16	?	?	?	?	?	?	?	?	?	?	?	?	?	?
AY737797.1	AY737797.1	Human adenovirus type 34 strain Compton, complete genome	B	34	34	34	34	34	?	?	?	?	?	?	?	?	?	?	?	?	?	?
AY737798.1	AY737798.1	Human adenovirus type 50 strain Wan, complete genome	B	50	50	50	50	50	?	?	?	?	?	?	?	?	?	?	?	?	?	?
AY803294.1	AY803294.1	Human adenovirus type 14 strain de Wit, complete genome	B	14	14	14	14	14	?	?	?	?	?	?	?	?	?	?	?	?	?	?
AY875648.1	AY875648.1	Human adenovirus type 46, complete genome	D	46	46	46	46	46	?	?	?	?	?	?	?	?	?	?	?	?	?	?
DQ099432.4	DQ099432.4	Human adenovirus B strain Guangzhou01, complete genome	B	3	3	3	3	3	2005-01-01	2005	CN.30	CN	30	?	?	?	1809935	Guangdong Sheng	23.5	113.25	ADM1	2016-05-16
DQ105654.4	DQ105654.4	Human adenovirus B strain Guangzhou02, complete genome	B	3	3	3	3	3	2004-07-01	2004	CN.30	CN	30	?	?	?	1809935	Guangdong Sheng	23.5	113.25	ADM1	2016-05-16
DQ315364.2	DQ315364.2	Human adenovirus 41 isolate Tak, complete genome	F	41	41	41	41	41	?	?	NL.00	NL	00	?	?	?	2750405	Kingdom of the Netherlands	52.25	5.75	PCLI	2020-07-28
DQ393829.1	DQ393829.1	Human adenovirus type 49, complete genome	D	49	49	49	49	49	?	?	?	?	?	?	?	?	?	?	?	?	?	?
DQ900900.1	DQ900900.1	Human adenovirus type 37 isolate GW [76-19026], complete genome	D	37	37	37	37	19	1976-01-01	1976	NL.00	NL	00	?	?	?	2750405	Kingdom of the Netherlands	52.25	5.75	PCLI	2020-07-28
DQ923122.2	DQ923122.2	Human adenovirus 52 isolate T03-2244, complete genome	G	52	52	52	52	52	2003-02-01	2003	US.CA.037	US	CA	037	?	?	5368381	Los Angeles County	34.19801	-118.26102	ADM2	2018-04-25
EF121005.1	EF121005.1	Human adenovirus 64 strain human/USA/C/1993/64[P22H19F37], complete genome	D	64	64	22	19	19	1993-01-01	1993	US.00	US	00	?	?	?	6252001	United States	39.76	-98.5	PCLI	2020-03-29
EF153473.1	EF153473.1	Human adenovirus type 48, complete genome	D	48	48	48	48	48	?	?	?	?	?	?	?	?	?	?	?	?	?	?
EF153474.1	EF153474.1	Human adenovirus type 26, complete genome	D	26	26	26	26	26	?	?	?	?	?	?	?	?	?	?	?	?	?	?
EF371058.2	EF371058.2	Human mastadenovirus E isolate NHRC90339, complete genome	E	4	4	4	4	4	2011-01-01	2011	US.NJ.009	US	NJ	009	?	?	4501053	Cape May County	39.08513	-74.84998	ADM2	2018-04-25
FJ025910.1	FJ025910.1	Simian adenovirus 35.2, complete genome	B	76	76	21	21	16	?	?	?	?	?	?	?	?	?	?	?	?	?	?
FJ025912.1	FJ025912.1	Simian adenovirus 35.1, complete genome	B	76	76	21	21	16	?	?	?	?	?	?	?	?	?	?	?	?	?	?
FJ169625.1	FJ169625.1	Human adenovirus D strain human/DEU/IAI-1/2005/53[P37H22F8], complete genome	D	53	53	37	22	8	2005-01-01	2005	DE.00	DE	00	?	?	?	2921044	Federal Republic of Germany	51.5	10.5	PCLI	2020-03-29
FJ349096.1	FJ349096.1	Human adenovirus 6 strain Tonsil 99 prototype, complete genome	C	6	6	6	6	6	1953-01-01	1953	US.00	US	00	?	?	?	6252001	United States	39.76	-98.5	PCLI	2020-03-29
FJ404771.1	FJ404771.1	Human adenovirus 22 isolate AV-2711, complete genome	D	22	22	22	22	22	1956-01-01	1956	SA.00	SA	00	?	?	?	102358	Kingdom of Saudi Arabia	25	45	PCLI	2020-03-29
FJ597732.1	FJ597732.1	Human adenovirus 11a strain SGN1222, complete genome	B	55	55	14	11	14	2005-05-26	2005	SG.00	SG	00	?	?	?	1880251	Republic of Singapore	1.36667	103.8	PCLI	2020-03-29
FJ619037.1	FJ619037.1	Human adenovirus 22 strain AV-2711, complete genome	D	22	22	22	22	22	1956-01-01	1956	SA.00	SA	00	?	?	?	102358	Kingdom of Saudi Arabia	25	45	PCLI	2020-03-29
FJ643676.1	FJ643676.1	Human adenovirus 55 strain QS-DLL, complete genome	B	55	55	14	11	14	2006-04-01	2006	CN.00	CN	00	?	?	?	1814991	People’s Republic of China	35	105	PCLI	2020-07-28
FJ822614.1	FJ822614.1	Human adenovirus 14 isolate Ad14-303600, complete genome	B	14	14	14	14	14	2007-01-01	2007	US.TX.029	US	TX	029	?	?	4674023	Bexar County	29.44896	-98.52002	ADM2	2018-04-25
FJ824826.1	FJ824826.1	Human adenovirus 28 strain BP-5, complete genome	D	28	28	28	28	28	?	?	US.00	US	00	?	?	?	6252001	United States	39.76	-98.5	PCLI	2020-03-29
GQ384080.1	GQ384080.1	Human adenovirus 36 from USA, complete genome	D	36	36	36	36	36	2008-01-01	2008	US.00	US	00	?	?	?	6252001	United States	39.76	-98.5	PCLI	2020-03-29
GQ478341.1	GQ478341.1	Human adenovirus 7 strain GZ08, complete genome	B	3	21	66	7	7	2008-02-01	2008	CN.00	CN	00	?	?	?	1814991	People’s Republic of China	35	105	PCLI	2020-07-28
GU191019.1	GU191019.1	Human adenovirus 18 isolate D.C., complete genome	A	18	18	18	18	18	1954-01-01	1954	US.DC	US	DC	?	?	?	4138106	District of Columbia	38.91706	-77.00025	ADM1	2020-05-28
HM565136.3	HM565136.3	Human adenovirus 41 isolate NIVD103, complete genome	F	41	41	41	41	41	2007-09-01	2007	CN.00	CN	00	?	?	?	1814991	People’s Republic of China	35	105	PCLI	2020-07-28
HM770721.2	HM770721.2	Human adenovirus 56, complete genome	D	56	56	56	15	9	2008-01-01	2008	FR.00	FR	00	?	?	?	3017382	Republic of France	46	2	PCLI	2020-08-28
HQ003817.1	HQ003817.1	Human adenovirus C strain human/RUS/16700/2001/57[P1H57F6], complete genome	C	57	57	1	57	6	1997-11-01	1997	RU.00	RU	00	?	?	?	2017370	Russian Federation	60	100	PCLI	2020-03-29
HQ007053.1	HQ007053.1	Human adenovirus D strain human/CAN/SW/2009/60[P60H20F60], complete genome	D	60	60	60	20	60	2008-01-01	2008	CA.00	CA	00	?	?	?	6251999	Canada	60.10867	-113.64258	PCLI	2020-03-29
HQ413315.1	HQ413315.1	Human adenovirus 6 isolate Tonsil 99, complete genome	C	6	6	6	6	6	1953-01-01	1953	US.DC	US	DC	?	?	?	4138106	District of Columbia	38.91706	-77.00025	ADM1	2020-05-28
HQ883276.1	HQ883276.1	Human adenovirus 58 strain human/ARG/AdCor-96-487/1996/58[P58H58F29], complete genome	D	58	58	58	58	29	1996-02-01	1996	AR.00	AR	00	?	?	?	3865483	Argentine Republic	-34	-64	PCLI	2020-03-29
HQ910407.1	HQ910407.1	Human adenovirus 17 isolate D17, complete genome	D	17	17	17	17	17	1955-01-01	1955	SA.00	SA	00	?	?	?	102358	Kingdom of Saudi Arabia	25	45	PCLI	2020-03-29
J01917.1	J01917.1	Adenovirus type 2, complete genome	C	2	6	2	2	2	?	?	?	?	?	?	?	?	?	?	?	?	?	?
JF799911.1	JF799911.1	Human adenovirus D strain human/USA/CDPH/2007/59[P64H25F56], complete genome	D	59	59	64	25	56	2007-11-18	2007	US.00	US	00	?	?	?	6252001	United States	39.76	-98.5	PCLI	2020-03-29
JF800905.1	JF800905.1	Human adenovirus 7 strain 0901HZ/ShX/CHN/2009, complete genome	B	66	7	66	7	7	2009-01-08	2009	CN.00	CN	00	?	?	?	1814991	People’s Republic of China	35	105	PCLI	2020-07-28
JF964962.1	JF964962.1	Human adenovirus 61 strain JPN/2004/5082/[P31/H-NEW/F31], complete genome	A	61	61	31	61	31	2004-01-01	2004	JP.00	JP	00	?	?	?	1861060	Japan	35.68536	139.75309	PCLI	2020-03-29
JN032132.1	JN032132.1	Human adenovirus 14 strain HAdV14-BJ430/CHN2010, complete genome	B	14	14	14	14	14	2011-10-22	2011	CN.00	CN	00	?	?	?	1814991	People’s Republic of China	35	105	PCLI	2020-07-28
JN162671.1	JN162671.1	Human adenovirus 62 isolate Aids25/Manchester/1993, complete genome	D	62	62	62	62	62	1993-01-01	1993	GB.ENG	GB	ENG	?	?	?	6269131	England	52.16045	-0.70312	ADM1	2020-05-09
JN226746.1	JN226746.1	Human adenovirus 10, complete genome	D	10	10	10	10	10	?	?	US.00	US	00	?	?	?	6252001	United States	39.76	-98.5	PCLI	2020-03-29
JN226747.1	JN226747.1	Human adenovirus 13, complete genome	D	13	13	13	13	13	1955-01-01	1955	US.00	US	00	?	?	?	6252001	United States	39.76	-98.5	PCLI	2020-03-29
JN226748.1	JN226748.1	Human adenovirus 69 isolate Human adenovirus D human/SAU/CH38/1955/69[P53H15F69], complete genome	D	69	69	53	15	69	1955-01-01	1955	SA.00	SA	00	?	?	?	102358	Kingdom of Saudi Arabia	25	45	PCLI	2020-03-29
JN226749.1	JN226749.1	Human adenovirus 20, complete genome	D	20	20	20	20	20	1955-01-01	1955	SA.00	SA	00	?	?	?	102358	Kingdom of Saudi Arabia	25	45	PCLI	2020-03-29
JN226750.1	JN226750.1	Human adenovirus 23, complete genome	D	23	23	23	23	23	1956-01-01	1956	SA.00	SA	00	?	?	?	102358	Kingdom of Saudi Arabia	25	45	PCLI	2020-03-29
JN226751.1	JN226751.1	Human adenovirus 24, complete genome	D	24	24	24	24	24	1956-01-01	1956	SA.00	SA	00	?	?	?	102358	Kingdom of Saudi Arabia	25	45	PCLI	2020-03-29
JN226752.1	JN226752.1	Human adenovirus 25, complete genome	D	25	25	25	25	25	1956-01-01	1956	US.00	US	00	?	?	?	6252001	United States	39.76	-98.5	PCLI	2020-03-29
JN226753.1	JN226753.1	Human adenovirus 27, complete genome	D	27	27	27	27	27	1958-01-01	1958	US.00	US	00	?	?	?	6252001	United States	39.76	-98.5	PCLI	2020-03-29
JN226754.1	JN226754.1	Human adenovirus 29, complete genome	D	29	29	29	29	29	1959-01-01	1959	US.00	US	00	?	?	?	6252001	United States	39.76	-98.5	PCLI	2020-03-29
JN226755.1	JN226755.1	Human adenovirus 30 isolate USA/BP-7-1/1959/30 [P30H30F30], complete genome	D	30	30	30	30	30	1959-01-01	1959	US.00	US	00	?	?	?	6252001	United States	39.76	-98.5	PCLI	2020-03-29
JN226756.1	JN226756.1	Human adenovirus 32, complete genome	D	32	32	32	32	32	1965-01-01	1965	?	?	?	?	?	?	?	?	?	?	?	?
JN226757.1	JN226757.1	Human adenovirus 47, complete genome	D	47	47	47	47	47	1982-01-01	1982	US.00	US	00	?	?	?	6252001	United States	39.76	-98.5	PCLI	2020-03-29
JN226758.1	JN226758.1	Human adenovirus 33, complete genome	D	33	33	33	33	33	1965-01-01	1965	?	?	?	?	?	?	?	?	?	?	?	?
JN226759.1	JN226759.1	Human adenovirus 38, complete genome	D	38	38	38	38	38	?	?	NL.00	NL	00	?	?	?	2750405	Kingdom of the Netherlands	52.25	5.75	PCLI	2020-07-28
JN226760.1	JN226760.1	Human adenovirus 39, complete genome	D	39	39	39	39	39	1977-01-01	1977	SV.00	SV	00	?	?	?	3585968	Republic of El Salvador	13.83333	-88.91667	PCLI	2020-03-29
JN226761.1	JN226761.1	Human adenovirus 42, complete genome	D	42	42	42	42	42	1982-01-01	1982	FR.00	FR	00	?	?	?	3017382	Republic of France	46	2	PCLI	2020-08-28
JN226762.1	JN226762.1	Human adenovirus 43, complete genome	D	43	43	43	43	43	1981-01-01	1981	US.00	US	00	?	?	?	6252001	United States	39.76	-98.5	PCLI	2020-03-29
JN226763.1	JN226763.1	Human adenovirus 44, complete genome	D	44	44	44	44	44	1982-01-01	1982	US.00	US	00	?	?	?	6252001	United States	39.76	-98.5	PCLI	2020-03-29
JN226764.1	JN226764.1	Human adenovirus 45, complete genome	D	45	45	45	45	45	1982-01-01	1982	US.00	US	00	?	?	?	6252001	United States	39.76	-98.5	PCLI	2020-03-29
JN226765.1	JN226765.1	Human adenovirus 51, complete genome	D	51	51	51	51	51	1989-01-01	1989	NL.00	NL	00	?	?	?	2750405	Kingdom of the Netherlands	52.25	5.75	PCLI	2020-07-28
JN860676.1	JN860676.1	Human adenovirus 66 strain 87-922, complete genome	B	66	66	66	7	3	1987-01-01	1987	AR.00	AR	00	?	?	?	3865483	Argentine Republic	-34	-64	PCLI	2020-03-29
JN860677.1	JN860677.1	Human adenovirus 7d2 strain FS2154, complete genome	B	66	7	66	7	7	2009-01-01	2009	US.00	US	00	?	?	?	6252001	United States	39.76	-98.5	PCLI	2020-03-29
JN860678.1	JN860678.1	Human adenovirus 68 strain Arg 827/04, complete genome	B	68	68	16	3	16	2004-01-01	2004	AR.00	AR	00	?	?	?	3865483	Argentine Republic	-34	-64	PCLI	2020-03-29
JN860679.1	JN860679.1	Human adenovirus 3+7 strain Takeuchi, complete genome	B	3	3	66	7	3	1958-01-01	1958	JP.00	JP	00	?	?	?	1861060	Japan	35.68536	139.75309	PCLI	2020-03-29
JN860680.1	JN860680.1	Human adenovirus 16 strain E26, complete genome	B	16	16	16	16	16	?	?	EG.00	EG	00	?	?	?	357994	Arab Republic of Egypt	27	30	PCLI	2020-03-29
JN935766.1	JN935766.1	Human adenovirus 63 strain human/USA/BP-7-2/1959/63[P30H30F29], complete genome	D	63	30	30	30	29	1959-01-01	1959	US.00	US	00	?	?	?	6252001	United States	39.76	-98.5	PCLI	2020-03-29
